municipality_lower,iata_code,name
hagãƒâ¥tãƒâ±a, guam international airport,GUM,Antonio B. Won Pat International Airport
gallup,GUP,Gallup Municipal Airport
guanare,GUQ,Guanare Airport
gurney,GUR,Gurney Airport
peru,GUS,Grissom Air Reserve Base
atyrau,GUW,Atyrau Airport
guymon,GUY,Guymon Municipal Airport
geneva,GVA,Geneva Cointrin International Airport
sovetskaya gavan,GVN,Maygatka Airport.
gãƒâ¤vle / sandviken,GVX,GÃƒÂ¤vle Sandviken Airport
gwadar,GWD,Gwadar International Airport
gweru,GWE,Thornhill Air Base
gwalior,GWL,Gwalior Airport
greenwood,GWO,GreenwoodÃ¢Â€Â“Leflore Airport
westerland,GWT,Westerland Sylt Airport
galway,GWY,Galway Airport
sayun,GXF,Sayun International Airport
negage,GXG,Negage Airport
xiahe,GXH,Gannan Xiahe Airport
coyhaique,GXQ,Teniente Vidal Airport
baku,GYD,Heydar Aliyev International Airport
guayaquil,GYE,JosÃƒÂ© JoaquÃƒÂ­n de Olmedo International Airport
magan,GYG,Magan Airport
gisenyi,GYI,Gisenyi Airport
guaymas,GYM,General JosÃƒÂ© MarÃƒÂ­a YÃƒÂ¡ÃƒÂ±ez International Airport
goiãƒâ¢nia,GYN,Santa Genoveva Airport
guangyuan,GYS,Guangyuan Airport
guyuan,GYU,Guyuan Liupanshan Airport
gary,GYY,Gary Chicago International Airport
gazipaã…âÿa,GZP,GazipaÃ…ÂŸa Airport
gaziantep,GZT,Gaziantep International Airport
qazvin,GZW,Qazvin Airport
hachijojima,HAC,Hachijojima Airport
halmstad,HAD,Halmstad Airport
moroni,HAH,Prince Said Ibrahim International Airport
hannover,HAJ,Hannover Airport
haikou,HAK,Haikou Meilan International Airport
hamburg,HAM,Hamburg Airport
hanoi,HAN,Noi Bai International Airport
haa dhaalu atoll,HAQ,Hanimaadhoo Airport
ha'il,HAS,Ha'il Airport
karmãƒâ¸y,HAU,Haugesund Airport
havana,HAV,JosÃƒÂ© MartÃƒÂ­ International Airport
haverfordwest,HAW,Haverfordwest Airport
hobart,HBA,Hobart International Airport
alexandria,HBE,Borg El Arab International Airport
hattiesburg,HBG,Hattiesburg Bobby L Chain Municipal Airport
qilian,HBQ,Qilian Airport
hobart,HBR,Hobart Regional Airport
hubli,HBX,Hubli Airport
hechi,HCJ,Hechi Jinchengjiang Airport
hengchung,HCN,Hengchun Airport
holy cross,HCR,Holy Cross Airport
heringsdorf,HDF,Heringsdorf Airport
handan,HDG,Handan Airport
mokuleia,HDH,Dillingham Airfield
hamadan,HDM,Hamadan Airport
hat yai,HDY,Hat Yai International Airport
heho,HEH,Heho Airport
heihe,HEK,Heihe Airport
helsinki,HEL,Helsinki Vantaa Airport
helsinki,HEM,Helsinki Malmi Airport
heraklion,HER,Heraklion International Nikos Kazantzakis Airport
hohhot,HET,Baita International Airport
haifa,HFA,Haifa International Airport
hartford,HFD,Hartford Brainard Airport
hefei,HFE,Hefei Luogang International Airport
hãƒâ¶fn,HFN,HornafjÃƒÂ¶rÃƒÂ°ur Airport
hammerfest,HFT,Hammerfest Airport
hargeisa,HGA,Egal International Airport
hangzhou,HGH,Hangzhou Xiaoshan International Airport
higleig,HGI,Paloich Airport, Heliport
korhogo,HGO,Korhogo Airport
hagerstown,HGR,Hagerstown Regional Richard A Henson Field
mount hagen,HGU,Mount Hagen Kagamuga Airport
wahiawa,HHI,Wheeler Army Airfield
frankfurt am main,HHN,Frankfurt-Hahn Airport
hua hin,HHQ,Hua Hin Airport
hawthorne,HHR,Jack Northrop Field Hawthorne Municipal Airport
huai'an,HIA,Lianshui Airport
hibbing,HIB,Range Regional Airport
horn island,HID,Horn Island Airport
ogden,HIF,Hill Air Force Base
hiroshima,HIJ,Hiroshima Airport
polonnaruwa town,HIM,Hingurakgoda Air Force Base
sacheon,HIN,Sacheon Air Base/Airport
portland,HIO,Portland Hillsboro Airport
honiara,HIR,Honiara International Airport
huaihua,HJJ,Zhijiang Airport
khajuraho,HJR,Khajuraho Airport
hakodate,HKD,Hakodate Airport
hong kong,HKG,Hong Kong International Airport
hoskins,HKN,Kimbe Airport
phuket,HKT,Phuket International Airport
hickory,HKY,Hickory Regional Airport
johannesburg,HLA,Lanseria Airport
hailar,HLD,Hulunbuir Hailar Airport
wheeling,HLG,Wheeling Ohio County Airport
helena,HLN,Helena Regional Airport
jakarta,HLP,Halim Perdanakusuma International Airport
fort hood(killeen),HLR,Hood Army Air Field
hamilton,HLZ,Hamilton International Airport
khanty-mansiysk,HMA,Khanty Mansiysk Airport
sohag,HMB,Sohag International Airport
hassi messaoud,HME,Oued Irara Airport
hami,HMI,Hami Airport
khmelnytskyi,HMJ,Khmelnytskyi Airport
alamogordo,HMN,Holloman Air Force Base
hermosillo,HMO,General Ignacio P. Garcia International Airport
hemavan,HMV,Hemavan Airport
ota, tokyo,HND,Tokyo Haneda International Airport
honolulu,HNL,Daniel K Inouye International Airport
hana,HNM,Hana Airport
haines,HNS,Haines Airport
hobbs,HOB,Lea County Regional Airport
hodeida,HOD,Hodeidah International Airport
holguin,HOG,Frank Pais International Airport
homer,HOM,Homer Airport
huron,HON,Huron Regional Airport
fort campbell/hopkinsville,HOP,Campbell AAF (Fort Campbell) Air Field
hof,HOQ,Hof-Plauen Airport
horta,HOR,Horta Airport
hot springs,HOT,Memorial Field
houston,HOU,William P Hobby Airport
ãƒâ˜rsta,HOV,ÃƒÂ˜rsta-Volda Airport, Hovden
lifuka,HPA,Lifuka Island Airport
hooper bay,HPB,Hooper Bay Airport
shennongjia,HPG,Shennongjia Hongping Airport
haiphong,HPH,Cat Bi International Airport
white plains,HPN,Westchester County Airport
hoquiam,HQM,Bowerman Airport
harbin,HRB,Taiping Airport
harare,HRE,Robert Gabriel Mugabe International Airport
hurghada,HRG,Hurghada International Airport
kharkiv,HRK,Kharkiv International Airport
harlingen,HRL,Valley International Airport
harrison,HRO,Boone County Airport
harrismith,HRS,Harrismith Airport
linton-on-ouse,HRT,RAF Linton-On-Ouse
shaoguan,HSC,Shaoguan Guitou Airport
saga,HSG,Saga Airport
huslia,HSL,Huslia Airport
homestead,HST,Homestead ARB Airport
huntsville,HSV,Huntsville International Carl T Jones Field
hsinchu city,HSZ,Hsinchu Air Base
chita,HTA,Chita-Kadala Airport
khatanga,HTG,Khatanga Airport
hamilton island,HTI,Hamilton Island Airport
hotan,HTN,Hotan Airport
huntington,HTS,Tri-State/Milton J. Ferguson Field
mengnai,HTT,Huatugou Airport
huntsville,HTV,Huntsville Regional Airport
hatay,HTY,Hatay Airport
redstone arsnl huntsville,HUA,Redstone Army Air Field
terre haute,HUF,Terre Haute Regional Airport, Hulman Field
fare,HUH,Huahine-Fare Airport
hue,HUI,Phu Bai Airport
houlton,HUL,Houlton International Airport
hualien city,HUN,Hualien Airport
holingol,HUO,Holingol Huolinhe Airport
hutchinson,HUT,Hutchinson Municipal Airport
huãƒâ¡nuco,HUU,Alferez Fap David Figueroa Fernandini Airport
huatulco,HUX,BahÃƒÂ­as de Huatulco International Airport
grimsby,HUY,Humberside Airport
huizhou,HUZ,Huizhou Airport
hervey bay,HVB,Hervey Bay Airport
khovd,HVD,Khovd Airport
honningsvãƒâ¥g,HVG,Valan Airport
new haven,HVN,Tweed New Haven Airport
havre,HVR,Havre City County Airport
hwange,HWN,Hwange National Park Airport
hyannis,HYA,Barnstable Municipal Boardman Polando Field
hyderabad,HYD,Rajiv Gandhi International Airport
huangyan,HYN,Huangyan Luqiao Airport
hayward,HYR,Sawyer County Airport
hays,HYS,Hays Regional Airport
merville/calonne,HZB,Merville-Calonne Airport
liping,HZH,Liping Airport
hãƒâºsavãƒâ­k,HZK,HÃƒÂºsavÃƒÂ­k Airport
igarka,IAA,Igarka Airport
wichita,IAB,Mc Connell Air Force Base
washington,IAD,Washington Dulles International Airport
niagara falls,IAG,Niagara Falls International Airport
houston,IAH,George Bush Intercontinental Houston Airport
amãƒâ©nas,IAM,In AmÃƒÂ©nas Airport
kiana,IAN,Bob Baker Memorial Airport
iaã…âÿi,IAS,IaÃ…ÂŸi Airport
ibadan,IBA,Ibadan Airport
ibaguãƒâ©,IBE,Perales Airport
bazaruto island,IBL,Indigo Bay Lodge Airport
iberia,IBP,Iberia Airport
omitama,IBR,Ibaraki Airport / JASDF Hyakuri Air Base
ibiza,IBZ,Ibiza Airport
seoul,ICN,Incheon International Airport
wichita,ICT,Wichita Eisenhower National Airport
idaho falls,IDA,Idaho Falls Regional Airport
indore,IDR,Devi Ahilyabai Holkar Airport
ãƒâžle d'yeu,IDY,ÃƒÂŽle d'Yeu Airport
babimost,IEG,Zielona GÃƒÂ³ra-Babimost Airport
ie,IEJ,Ie Jima Airport
kiev,IEV,Kiev Zhuliany International Airport
ãƒâsafjãƒâ¶rãƒâ°ur,IFJ,ÃƒÂsafjÃƒÂ¶rÃƒÂ°ur Airport
isfahan,IFN,Esfahan Shahid Beheshti International Airport
ivano-frankivsk,IFO,Ivano-Frankivsk International Airport
matthew town,IGA,Inagua Airport
iã„âÿdã„â±r,IGD,IÃ„ÂŸdÃ„Â±r Airport
puerto iguazu,IGR,Cataratas Del IguazÃƒÂº International Airport
manching,IGS,Ingolstadt Manching Airport
magas,IGT,Magas Airport
foz do iguaãƒâ§u,IGU,Cataratas International Airport
iranshahr,IHR,Iran Shahr Airport
ilam,IIL,Ilam Airport
izhevsk,IJK,Izhevsk Airport
tehran,IKA,Imam Khomeini International Airport
iki,IKI,Iki Airport
kankakee,IKK,Greater Kankakee Airport
tiksi,IKS,Tiksi Airport
irkutsk,IKT,Irkutsk Airport
tamchy,IKU,Issyk-Kul International Airport
lleida,ILD,Lleida-Alguaire Airport
ilford,ILF,Ilford Airport
wilmington,ILG,New Castle Airport
iliamna,ILI,Iliamna Airport
wilmington,ILM,Wilmington International Airport
wilmington,ILN,Wilmington Airpark
iloilo city,ILO,Iloilo International Airport
ãƒâžle des pins,ILP,ÃƒÂŽle des Pins Airport
ilo,ILQ,Ilo Airport
ilorin,ILR,Ilorin International Airport
port ellen,ILY,Islay Airport
ã…â½ilina,ILZ,Ã…Â½ilina Airport
imphal,IMF,Imphal Airport
imperatriz,IMP,Prefeito Renato Moreira Airport
inta,INA,Inta Airport
yinchuan,INC,Yinchuan Hedong International Airport
indianapolis,IND,Indianapolis International Airport
inhambabe,INH,Inhambane Airport
nis,INI,Nis Airport
wink,INK,Winkler County Airport
international falls,INL,Falls International Airport
innsbruck,INN,Innsbruck Airport
winston salem,INT,Smith Reynolds Airport
yaren district,INU,Nauru International Airport
inverness,INV,Inverness Airport
winslow,INW,Winslow Lindbergh Regional Airport
in salah,INZ,In Salah Airport
ioannina,IOA,Ioannina Airport
castletown,IOM,Isle of Man Airport
ilhãƒâ©us,IOS,Bahia - Jorge Amado Airport
isla de pascua,IPC,Mataveri Airport
ipoh,IPH,Sultan Azlan Shah Airport
ipiales,IPI,San Luis Airport
imperial,IPL,Imperial County Airport
ipatinga,IPN,Usiminas Airport
williamsport,IPT,Williamsport Regional Airport
hã„â«t,IQA,Al Asad Air Base
qiemo,IQM,Qiemo Yudu Airport
qingyang,IQN,Qingyang Airport
iquique,IQQ,Diego Aracena Airport
iquitos,IQT,Coronel FAP Francisco Secada Vignetta International Airport
ishurdi,IRD,Ishurdi Airport
lockhart river,IRG,Lockhart River Airport
nduli,IRI,Iringa Airport
la rioja,IRJ,Capitan V A Almonacid Airport
kirksville,IRK,Kirksville Regional Airport
mount isa,ISA,Mount Isa Airport
islamabad,ISB,Islamabad International Airport
st. mary's,ISC,St. Mary's Airport
isparta,ISE,SÃƒÂ¼leyman Demirel International Airport
ishigaki,ISG,New Ishigaki Airport
nasik,ISK,Nashik Airport
istanbul,ISL,AtatÃƒÂ¼rk International Airport
orlando,ISM,Kissimmee Gateway Airport
williston,ISN,Sloulin Field International Airport
kinston,ISO,Kinston Regional Jetport At Stallings Field
islip,ISP,Long Island Mac Arthur Airport
istanbul,IST,Istanbul Airport
sulaymaniyah,ISU,Sulaymaniyah International Airport
itacoatiara,ITA,Itacoatiara Airport
itaituba,ITB,Itaituba Airport
ithaca,ITH,Ithaca Tompkins Regional Airport
osaka,ITM,Osaka International Airport
hilo,ITO,Hilo International Airport
alofi,IUE,Niue International Airport
invercargill,IVC,Invercargill Airport
ivalo,IVL,Ivalo Airport
inverell,IVR,Inverell Airport
ivanovo,IWA,Ivanovo South Airport
masuda,IWJ,Iwami Airport
iwakuni,IWK,Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni
agartala,IXA,Agartala Airport
siliguri,IXB,Bagdogra Airport
chandigarh,IXC,Chandigarh Airport
allahabad,IXD,Allahabad Airport
mangalore,IXE,Mangalore International Airport
belgaum,IXG,Belgaum Airport
lilabari,IXI,North Lakhimpur Airport
jammu,IXJ,Jammu Airport
leh,IXL,Leh Kushok Bakula Rimpochee Airport
madurai,IXM,Madurai Airport
pathankot,IXP,Pathankot Airport
ranchi,IXR,Birsa Munda Airport
silchar,IXS,Silchar Airport
aurangabad,IXU,Aurangabad Airport
jamshedpur,IXW,Sonari Airport
kandla,IXY,Kandla Airport
port blair,IXZ,Vir Savarkar International Airport
juiz de fora,IZA,Presidente Itamar Franco Airport
juiz de fora,IZA,Zona da Mata Regional Airport
izumo,IZO,Izumo En-Musubi Airport
ixtepec,IZT,Ixtepec Airport
jackson,JAC,Jackson Hole Airport
perth,JAD,Perth Jandakot Airport
jaãƒâ©n,JAE,Shumba Airport
jaffna,JAF,Kankesanturai Airport
jacobabad,JAG,Shahbaz Air Base
jaipur,JAI,Jaipur International Airport
jacmel,JAK,Jacmel Airport
xalapa,JAL,El Lencero Airport
yambol,JAM,Bezmer Air Base
jackson,JAN,Jackson-Medgar Wiley Evers International Airport
jauja,JAU,Francisco Carle Airport
jacksonville,JAX,Jacksonville International Airport
la isabela,JBQ,La Isabela International Airport
jonesboro,JBR,Jonesboro Municipal Airport
jacareacanga,JCR,Jacareacanga Airport
junction,JCT,Kimble County Airport
juiz de fora,JDF,Francisco de Assis Airport
jeju island,JDG,Jeongseok Airport
jodhpur,JDH,Jodhpur Airport
jingdezhen,JDZ,Jingdezhen Airport
jeddah,JED,King Abdulaziz International Airport
jeremie,JEE,JÃƒÂ©rÃƒÂ©mie Airport
aasiaat,JEG,Aasiaat Airport
saint helier,JER,Jersey Airport
new york,JFK,John F Kennedy International Airport
jamnagar,JGA,Jamnagar Airport
jiagedaqi,JGD,Jiagedaqi Airport
jiayuguan,JGN,Jiayuguan Airport
ji'an,JGS,Jinggangshan Airport
johor bahru,JHB,Senai International Airport
jinghong,JHG,Xishuangbanna Gasa Airport
lahaina,JHM,Kapalua Airport
sisimiut,JHS,Sisimiut Airport
jamestown,JHW,Chautauqua County-Jamestown Airport
djibouti city,JIB,Djibouti-Ambouli Airport
jijiga,JIJ,Wilwal International Airport
jimma,JIM,Jimma Airport
qianjiang,JIQ,Qianjiang Wulingshan Airport
jijoca de jericoacoara,JJD,Comandante Ariston Pessoa Airport
juanjuãƒâ­,JJI,Juanjui Airport
quanzhou,JJN,Quanzhou Jinjiang International Airport
jãƒâ¶nkãƒâ¶ping,JKG,JÃƒÂ¶nkÃƒÂ¶ping Airport
chios island,JKH,Chios Island National Airport
janakpur,JKR,Janakpur Airport
joplin,JLN,Joplin Regional Airport
lancang lahu autonomous county,JMJ,Lancang Jingmai Airport
mykonos island,JMK,Mikonos Airport
jamestown,JMS,Jamestown Regional Airport
jiamusi,JMU,Jiamusi Airport
johannesburg,JNB,OR Tambo International Airport
jining,JNG,Jining Qufu Airport
juneau,JNU,Juneau International Airport
jinzhou,JNZ,Jinzhou Airport
joensuu / liperi,JOE,Joensuu Airport
port st johns,JOH,Port St Johns Airport
joinville,JOI,Lauro Carneiro de Loyola Airport
yoshkar-ola,JOK,Yoshkar-Ola Airport
jos,JOS,Yakubu Gowon Airport
joãƒâ£o pessoa,JPA,Presidente Castro Pinto International Airport
kapolei,JRF,Kalaeloa Airport
jorhat,JRH,Jorhat Airport
arusha,JRO,Kilimanjaro International Airport
crete island,JSH,Sitia Airport
skiathos,JSI,Skiathos Island National Airport
jiansanjiang,JSJ,Jiansanjiang Airport
jashahor,JSR,Jessore Airport
johnstown,JST,John Murtha Johnstown Cambria County Airport
bauru,JTC,Bauru - Arealva Airport
santorini island,JTR,Santorini Airport
juba,JUB,Juba International Airport
san salvador de jujuy,JUJ,Gobernador Horacio Guzman International Airport
juliaca,JUL,Inca Manco Capac International Airport
quzhou,JUZ,Quzhou Airport
zanjan,JWN,Zanjan Airport
jixi,JXA,Jixi Xingkaihu Airport
jackson,JXN,Jackson County Reynolds Field
jiroft,JYR,Jiroft Airport
jyvãƒâ¤skylãƒâ¤n maalaiskunta,JYV,Jyvaskyla Airport
jiuzhaigou,JZH,Jiuzhai Huanglong Airport
kariba,KAB,Kariba International Airport
qamishly,KAC,Qamishli Airport
kaduna,KAD,Kaduna Airport
gangneung,KAG,Gangneung Airport (K-18)
kaieteur falls,KAI,Kaieteur International Airport
kajaani,KAJ,Kajaani Airport
kano,KAN,Mallam Aminu International Airport
kuusamo,KAO,Kuusamo Airport
kaitaia,KAT,Kaitaia Airport
kauhava,KAU,Kauhava Airport
kawthoung,KAW,Kawthoung Airport
kabul,KBL,Hamid Karzai International Airport
kiev,KBP,Boryspil International Airport
kota baharu,KBR,Sultan Ismail Petra Airport
bo,KBS,Bo Airport
krabi,KBV,Krabi Airport
kuching,KCH,Kuching International Airport
kahramanmaraã…âÿ,KCM,KahramanmaraÃ…ÂŸ Airport
galle,KCT,Koggala Airport
nankoku,KCZ,Kochi Airport (Ã©Â«Â˜Ã§ÂŸÂ¥Ã§Â©ÂºÃ¦Â¸Â¯)
nankoku,KCZ,Kochi Ryoma Airport
kãƒâ¤rdla,KDL,KÃƒÂ¤rdla Airport
huvadhu atoll,KDM,Kaadedhdhoo Airport
kadhdhoo,KDO,Kadhdhoo Airport
nakhon pathom,KDT,Kamphaeng Saen Airport
skardu,KDU,Skardu Airport
reykjavãƒâ­k,KEF,Keflavik International Airport
kemerovo,KEJ,Kemerovo Airport
kiel,KEL,Kiel-Holtenau Airport
kemi / tornio,KEM,Kemi-Tornio Airport
kenema,KEN,Kenema Airport
nepalgunj,KEP,Nepalgunj Airport
kerman,KER,Kerman Airport
kelsey,KES,Kelsey Airport
kengtung,KET,Kengtung Airport
halli / kuorevesi,KEV,Halli Airport
kananga,KGA,Kananga Airport
kaliningrad,KGD,Khrabrovo Airport
karaganda,KGF,Sary-Arka Airport
kãƒâ©dougou,KGG,KÃƒÂ©dougou Airport
kalgoorlie,KGI,Kalgoorlie Boulder Airport
karonga,KGJ,Karonga Airport
kigali,KGL,Kigali International Airport
kogalym,KGP,Kogalym International Airport
kos island,KGS,Kos Airport
kangding,KGT,Kangding Airport
kashgar,KHG,Kashgar Airport
kaohsiung city,KHH,Kaohsiung International Airport
karachi,KHI,Jinnah International Airport
nanchang,KHN,Nanchang Changbei International Airport
khasab,KHS,Khasab Air Base
khabarovsk,KHV,Khabarovsk-Novy Airport
kristianstad,KID,Kristianstad Airport
kish island,KIH,Kish International Airport
niigata,KIJ,Niigata Airport
kirkuk,KIK,Kirkuk Air Base
kimberley,KIM,Kimberley Airport
kingston,KIN,Norman Manley International Airport
killarney,KIR,Kerry Airport
kisumu,KIS,Kisumu Airport
chiã…âÿinã„âƒu,KIV,ChiÃ…ÂŸinÃ„Âƒu International Airport
kitwe,KIW,Southdowns Airport
osaka,KIX,Kansai International Airport
krasnoyarsk,KJA,Yemelyanovo Airport
huangping,KJH,Kaili Airport
burqin,KJI,Kanas Airport
wevelgem,KJK,Wevelgem Airport
kertajati,KJT,Kertajati International Airport
khon kaen,KKC,Khon Kaen Airport
kerikeri,KKE,Kerikeri Airport
kitakyushu,KKJ,Kitakyushu Airport
kirkenes,KKN,Kirkenes Airport (HÃƒÂ¸ybuktmoen)
kashan,KKS,Kashan Airport
kikai,KKX,Kikai Airport
kaolack,KLC,Kaolack Airport
tver,KLD,Migalovo Air Base
kaluga,KLF,Grabtsevo Airport
kalibo,KLO,Kalibo International Airport
kelso,KLS,Southwest Washington Regional Airport
klagenfurt am wãƒâ¶rthersee,KLU,Klagenfurt Airport
karlovy vary,KLV,Karlovy Vary International Airport
klawock,KLW,Klawock Airport
kalamata,KLX,Kalamata Airport
kleinsee,KLZ,Kleinsee Airport
kerema,KMA,Kerema Airport
king khaled military city,KMC,King Khaled Military City Airport
kamembe,KME,Kamembe Airport
kunming,KMG,Kunming Changshui International Airport
kuruman,KMH,Johan Pienaar Airport
miyazaki,KMI,Miyazaki Airport
kumamoto,KMJ,Kumamoto Airport
keetmanshoop,KMP,Keetmanshoop Airport
kanazawa,KMQ,Komatsu Airport
kumasi,KMS,Kumasi Airport
kostroma,KMW,Kostroma Sokerkino Airport
viãƒâ±a del mar,KNA,ViÃƒÂ±a del mar Airport
kindu,KND,Kindu Airport
marham,KNF,RAF Marham
kaimana-papua island,KNG,Kaimana Airport
shang-i,KNH,Kinmen Airport
konãƒâ©,KNQ,KonÃƒÂ© Airport
kangan,KNR,Jam Airport
kanpur,KNU,Kanpur Airport
kununurra,KNX,Kununurra Airport
kailua/kona,KOA,Ellison Onizuka Kona International At Keahole Airport
koumac,KOC,Koumac Airport
orkney islands,KOI,Kirkwall Airport
kagoshima,KOJ,Kagoshima Airport
kokkola / kruunupyy,KOK,Kokkola-Pietarsaari Airport
kontum,KON,Kontum Airport
koulamoutou,KOU,Koulamoutou Mabimbi Airport
kokshetau,KOV,Kokshetau Airport
port clarence,KPC,Port Clarence Coast Guard Station
pohang,KPO,Pohang Airport (G-815/K-3)
keperveem,KPW,Keperveem Airport
ajmer,KQH,Kishangarh Airport
kurgan-tyube,KQT,Qurghonteppa International Airport
kramfors / sollefteãƒâ¥,KRF,Kramfors SollefteÃƒÂ¥ Airport
krakãƒâ³w,KRK,KrakÃƒÂ³w John Paul II International Airport
korla,KRL,Korla Airport
kiruna,KRN,Kiruna Airport
kurgan,KRO,Kurgan Airport
karup,KRP,Karup Airport
krasnodar,KRR,Krasnodar Pashkovsky International Airport
kjevik,KRS,Kristiansand Airport
khartoum,KRT,Khartoum International Airport
krasnovodsk,KRW,Turkmenbashi Airport
okat,KSA,Kosrae International Airport
koã…â¡ice,KSC,KoÃ…Â¡ice Airport
karlstad,KSD,Karlstad Airport
kassel,KSF,Kassel-Calden Airport
kermanshah,KSH,Shahid Ashrafi Esfahani Airport
kassala,KSL,Kassala Airport
st mary's,KSM,St Mary's Airport
kostanay,KSN,Kostanay West Airport
kvernberget,KSU,Kristiansund Airport (Kvernberget)
kars,KSY,Kars Airport
kotlas,KSZ,Kotlas Airport
karratha,KTA,Karratha Airport
kitadaitã…âjima,KTD,Kitadaito Airport
kerteh,KTE,Kerteh Airport
ketapang-borneo island,KTG,Ketapang(Rahadi Usman) Airport
kitale,KTL,Kitale Airport
kathmandu,KTM,Tribhuvan International Airport
ketchikan,KTN,Ketchikan International Airport
tinson pen,KTP,Tinson Pen Airport
kittilãƒâ¤,KTT,KittilÃƒÂ¤ Airport
kota,KTU,Kota Airport
katowice,KTW,Katowice International Airport
kuantan,KUA,Kuantan Airport
samara,KUF,Kurumoch International Airport
kushiro,KUH,Kushiro Airport
kuala lumpur,KUL,Kuala Lumpur International Airport
yakushima,KUM,Yakushima Airport
kaunas,KUN,Kaunas International Airport
kuopio / siilinjãƒâ¤rvi,KUO,Kuopio Airport
kutaisi,KUT,Kopitnari Airport
kunsan,KUV,Kunsan Air Base
kavala,KVA,Alexander the Great International Airport
skãƒâ¶vde,KVB,SkÃƒÂ¶vde Airport
ganja,KVD,Ganja International Airport
kavieng,KVG,Kavieng Airport
kivalina,KVL,Kivalina Airport
kirov,KVX,Pobedilovo Airport
kwajalein,KWA,Bucholz Army Air Field
guiyang,KWE,Longdongbao Airport
kryvyi rih,KWG,Kryvyi Rih International Airport
kuwait city,KWI,Kuwait International Airport
gwangju,KWJ,Gwangju Airport
guilin city,KWL,Guilin Liangjiang International Airport
kowanyama,KWM,Kowanyama Airport
kiwayu,KWY,Kiwayu Airport
klerksdorp,KXE,P C Pelser Airport
komsomolsk-on-amur,KXK,Komsomolsk-on-Amur Airport
konya,KYA,Konya Airport
orchid island,KYD,Lanyu Airport
tripoli,KYE,Rene Mouawad Air Base
kyaukpyu,KYP,Kyaukpyu Airport
kyzyl,KYZ,Kyzyl Airport
kampong chhnang,KZC,Kampong Chhnang Airport
kozani,KZI,Filippos Airport
kazan,KZN,Kazan International Airport
luanda,LAD,Quatro de Fevereiro Airport
lae,LAE,Nadzab Airport
lafayette,LAF,Purdue University Airport
lannion,LAI,Lannion-CÃƒÂ´te de Granit Airport
lages,LAJ,Lages Airport
aklavik,LAK,Aklavik/Freddie Carmichael Airport
lakeland,LAL,Lakeland Linder International Airport
lansing,LAN,Capital City Airport
laoag city,LAO,Laoag International Airport
la paz,LAP,Manuel MÃƒÂ¡rquez de LeÃƒÂ³n International Airport
al bayda',LAQ,La Abraq Airport
laramie,LAR,Laramie Regional Airport
las vegas,LAS,McCarran International Airport
lamu,LAU,Manda Airstrip
lawton,LAW,Lawton Fort Sill Regional Airport
los angeles,LAX,Los Angeles International Airport
ladysmith,LAY,Ladysmith Airport
bom jesus da lapa,LAZ,Bom Jesus da Lapa Airport
leeds,LBA,Leeds Bradford Airport
lubbock,LBB,Lubbock Preston Smith International Airport
lãƒâ¼beck,LBC,LÃƒÂ¼beck Blankensee Airport
khudzhand,LBD,Khudzhand Airport
latrobe,LBE,Arnold Palmer Regional Airport
north platte,LBF,North Platte Regional Airport Lee Bird Field
paris,LBG,Paris-Le Bourget Airport
albi/le sãƒâ©questre,LBI,Albi-Le SÃƒÂ©questre Airport
liberal,LBL,Liberal Mid-America Regional Airport
lambarene,LBQ,Lambarene Airport
lumberton,LBT,Lumberton Regional Airport
labuan,LBU,Labuan Airport
libreville,LBV,Libreville Leon M'ba International Airport
la baule-escoublac,LBY,La Baule-Escoublac Airport
larnarca,LCA,Larnaca International Airport
la ceiba,LCE,Goloson International Airport
culleredo,LCG,A CoruÃƒÂ±a Airport
lake charles,LCH,Lake Charles Regional Airport
ã…âãƒâ³dã…âº,LCJ,Ã…ÂÃƒÂ³dÃ…Âº WÃ…Â‚adysÃ…Â‚aw Reymont Airport
columbus,LCK,Rickenbacker International Airport
pinar del rio,LCL,La Coloma Airport
longyan,LCX,Longyan Guanzhishan Airport
london,LCY,London City Airport
londrina,LDB,Governador JosÃƒÂ© Richa Airport
tarbes/lourdes/pyrãƒâ©nãƒâ©es,LDE,Tarbes-Lourdes-PyrÃƒÂ©nÃƒÂ©es Airport
yichun,LDS,Lindu Airport
lahad datu,LDU,Lahad Datu Airport
landivisiau,LDV,Landivisiau Air Base
derry,LDY,City of Derry Airport
exmouth,LEA,Learmonth Airport
lebanon,LEB,Lebanon Municipal Airport
st. petersburg,LED,Pulkovo Airport
leesburg,LEE,Leesburg International Airport
le havre/octeville,LEH,Le Havre Octeville Airport
almerãƒâ­a,LEI,AlmerÃƒÂ­a International Airport
leipzig,LEJ,Leipzig/Halle Airport
leãƒâ³n,LEN,Leon Airport
land's end,LEQ,Land's End Airport
leticia,LET,Alfredo VÃƒÂ¡squez Cobo International Airport
lexington,LEX,Blue Grass Airport
lelystad,LEY,Lelystad Airport
hampton,LFI,Langley Air Force Base
lufkin,LFK,Angelina County Airport
linfen,LFQ,Linfen Qiaoli Airport
lafayette,LFT,Lafayette Regional Airport
lomãƒâ©,LFW,LomÃƒÂ©-Tokoin Airport
new york,LGA,La Guardia Airport
long beach,LGB,Long Beach /Daugherty Field/ Airport
liãƒâ¨ge,LGG,LiÃƒÂ¨ge Airport
deadman's cay,LGI,Deadman's Cay Airport
